"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
		259.277	-101.69	259.277	-112.344
		259.277	-112.344	259.277	-112.344
				259.277	-112.344
		260.742	-106.499	260.742	-116.895
		260.742	-116.895	260.742	-116.895
				260.742	-116.895
		262.207	-107.539	262.207	-111.746
		262.207	-111.746	262.207	-111.746
				262.207	-111.746
263.672	-55.0781			263.672	-129.817
263.672	-129.817			263.672	-129.817
				263.672	-129.817
		265.137	-110.167	265.137	-113.41
		265.137	-113.41	265.137	-113.41
				265.137	-113.41
		266.602	-107.184	266.602	-111.148
		266.602	-111.148	266.602	-111.148
				266.602	-111.148
		268.066	-108.926	268.066	-110.982
		268.066	-110.982	268.066	-110.982
				268.066	-110.982
		269.531	-99.121	269.531	-118.935
		269.531	-118.935	269.531	-118.935
				269.531	-118.935
270.996	-55.1929			270.996	-116.807
270.996	-116.807			270.996	-116.807
				270.996	-116.807
				272.461	-107.251
				272.461	-107.251
				272.461	-107.251
		273.926	-98.5494	273.926	-109.276
		273.926	-109.276	273.926	-109.276
				273.926	-109.276
		275.391	-114.229	275.391	-117.927
		275.391	-117.927	275.391	-117.927
				275.391	-117.927
				276.855	-115.429
				276.855	-115.429
				276.855	-115.429
278.32	-55.1392			278.32	-120.203
278.32	-120.203			278.32	-120.203
				278.32	-120.203
				279.785	-105.956
				279.785	-105.956
				279.785	-105.956
		281.25	-101.314	281.25	-110.838
		281.25	-110.838	281.25	-110.838
				281.25	-110.838
		282.715	-100.519	282.715	-116.489
		282.715	-116.489	282.715	-116.489
				282.715	-116.489
		284.18	-124.07	284.18	-128.328
		284.18	-128.328	284.18	-128.328
				284.18	-128.328
		285.645	-111.647	285.645	-118.507
		285.645	-118.507	285.645	-118.507
				285.645	-118.507
287.109	-55.1174			287.109	-114.036
287.109	-114.036			287.109	-114.036
				287.109	-114.036
		288.574	-99.9023	288.574	-118.194
		288.574	-118.194	288.574	-118.194
				288.574	-118.194
		290.039	-103.227	290.039	-110.886
		290.039	-110.886	290.039	-110.886
				290.039	-110.886
		291.504	-101.687	291.504	-111.68
		291.504	-111.68	291.504	-111.68
				291.504	-111.68
		292.969	-106.586	292.969	-120.661
		292.969	-120.661	292.969	-120.661
				292.969	-120.661
		294.434	-103.57	294.434	-129.983
		294.434	-129.983	294.434	-129.983
				294.434	-129.983
295.898	-55.0966			295.898	-113.017
295.898	-113.017			295.898	-113.017
				295.898	-113.017
		297.363	-109.897	297.363	-112.53
		297.363	-112.53	297.363	-112.53
				297.363	-112.53
		298.828	-99.1067	298.828	-108.109
		298.828	-108.109	298.828	-108.109
				298.828	-108.109
		300.293	-103.07	300.293	-108.22
		300.293	-108.22	300.293	-108.22
				300.293	-108.22
		301.758	-102.331	301.758	-109.68
		301.758	-109.68	301.758	-109.68
				301.758	-109.68
303.223	-55.0439			303.223	-117.126
303.223	-117.126			303.223	-117.126
				303.223	-117.126
		304.688	-109.87	304.688	-115.989
		304.688	-115.989	304.688	-115.989
				304.688	-115.989
		306.152	-98.6263	306.152	-114.577
		306.152	-114.577	306.152	-114.577
				306.152	-114.577
		307.617	-102.259	307.617	-112.551
		307.617	-112.551	307.617	-112.551
				307.617	-112.551
		309.082	-120.482	309.082	-123.636
		309.082	-123.636	309.082	-123.636
				309.082	-123.636
		310.547	-105.381	310.547	-117.032
		310.547	-117.032	310.547	-117.032
				310.547	-117.032
		312.012	-95.6301	312.012	-119.278
		312.012	-119.278	312.012	-119.278
				312.012	-119.278
313.477	-55.0843			313.477	-110.676
313.477	-110.676			313.477	-110.676
				313.477	-110.676
				314.941	-107.337
				314.941	-107.337
				314.941	-107.337
		316.406	-99.8645	316.406	-116.408
		316.406	-116.408	316.406	-116.408
				316.406	-116.408
				317.871	-112.542
				317.871	-112.542
				317.871	-112.542
				319.336	-107.604
				319.336	-107.604
				319.336	-107.604
		320.801	-99.6154	320.801	-117.316
		320.801	-117.316	320.801	-117.316
				320.801	-117.316
322.266	-55.1007			322.266	-113.51
322.266	-113.51			322.266	-113.51
				322.266	-113.51
		323.73	-99.3864	323.73	-111.814
		323.73	-111.814	323.73	-111.814
				323.73	-111.814
		325.195	-102.329	325.195	-116.42
		325.195	-116.42	325.195	-116.42
				325.195	-116.42
		326.66	-106.817	326.66	-120.612
		326.66	-120.612	326.66	-120.612
				326.66	-120.612
		328.125	-98.6259	328.125	-121.026
		328.125	-121.026	328.125	-121.026
				328.125	-121.026
		329.59	-100.083	329.59	-121.966
		329.59	-121.966	329.59	-121.966
				329.59	-121.966
331.055	-55.1022			331.055	-111.783
331.055	-111.783			331.055	-111.783
				331.055	-111.783
		332.52	-104.513	332.52	-119.341
		332.52	-119.341	332.52	-119.341
				332.52	-119.341
		333.984	-104.857	333.984	-115.198
		333.984	-115.198	333.984	-115.198
				333.984	-115.198
		335.449	-107.066	335.449	-114.46
		335.449	-114.46	335.449	-114.46
				335.449	-114.46
		336.914	-100.064	336.914	-110.136
		336.914	-110.136	336.914	-110.136
				336.914	-110.136
		338.379	-109.53	338.379	-114.026
		338.379	-114.026	338.379	-114.026
				338.379	-114.026
		339.844	-101.938	339.844	-113.224
