"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
1114.75	0.00147529	1114.75	0.00116974	1114.75	0.00116987		
1146.97	0.00401675	1146.97	0.00109518	1146.97	0.00109531		
1180.66	0.00555763	1180.66	0.00102437	1180.66	0.00102448		
1215.82	0.00253197	1215.82	0.000957328	1215.82	0.000957426		
1250.98	0.00273398	1250.98	0.000896446	1250.98	0.000896534		
1287.6	0.00401088	1287.6	0.0008388	1287.6	0.000838878		
1325.68	0.00650717	1325.68	0.000784357	1325.68	0.000784427		
1365.23	0.00149432	1365.23	0.000733054	1365.23	0.000733116		
1404.79	0.00133794	1404.79	0.000686448	1404.79	0.000686503		
1445.8	0.0020744	1445.8	0.000642489	1445.8	0.000642538		
1488.28	0.00109201	1488.28	0.0006011	1488.28	0.000601144		
1532.23	0.00214267	1532.23	0.000562193	1532.23	0.000562232		
1576.17	0.00401299	1576.17	0.000526793	1576.17	0.000526828		
1623.05	0.00292182	1623.05	0.000492443	1623.05	0.000492473		
1669.92	0.00110454	1669.92	0.0004612	1669.92	0.000461227		
1719.73	0.001778	1719.73	0.000431007	1719.73	0.000431031		
1769.53	0.00172367	1769.53	0.000403545	1769.53	0.000403567		
1822.27	0.00115596	1822.27	0.000377094	1822.27	0.000377113		
1875	0.00141084	1875	0.000353028	1875	0.000353045		
1930.66	0.00122385	1930.66	0.000329909	1930.66	0.000329924		
1986.33	0.00133273	1986.33	0.000308863	1986.33	0.000308876		
2044.92	0.00169544	2044.92	0.000288688	2044.92	0.0002887		
