"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
859.863	0.00189046	859.863	0.00215173	859.863	0.00215219		
884.766	0.00632072	884.766	0.00201338	884.766	0.00201379		
911.133	0.00277709	911.133	0.00188042	911.133	0.00188078		
937.5	0.000978257	937.5	0.00175974	937.5	0.00176007		
965.332	0.00313649	965.332	0.00164412	965.332	0.0016444		
993.164	0.00208709	993.164	0.00153914	993.164	0.0015394		
1022.46	0.00708511	1022.46	0.00143878	1022.46	0.00143901		
1051.76	0.0010568	1051.76	0.0013476	1051.76	0.00134781		
1082.52	0.00448648	1082.52	0.00126059	1082.52	0.00126078		
1114.75	0.0024923	1114.75	0.00117789	1114.75	0.00117805		
1146.97	0.00590712	1146.97	0.00110281	1146.97	0.00110295		
1180.66	0.00417562	1180.66	0.00103149	1180.66	0.00103162		
1215.82	0.00086036	1215.82	0.000963967	1215.82	0.000964082		
1250.98	0.00129786	1250.98	0.00090265	1250.98	0.000902752		
1287.6	0.00224269	1287.6	0.000844591	1287.6	0.000844683		
1325.68	0.00100534	1325.68	0.000789759	1325.68	0.00078984		
1365.23	0.00186727	1365.23	0.000738089	1365.23	0.000738162		
1404.79	0.00268935	1404.79	0.000691151	1404.79	0.000691216		
1445.8	0.00271583	1445.8	0.000646879	1445.8	0.000646937		
1488.28	0.00269511	1488.28	0.000605197	1488.28	0.000605249		
1532.23	0.00321867	1532.23	0.000566015	1532.23	0.000566061		
1576.17	0.000808445	1576.17	0.000530366	1576.17	0.000530407		
1623.05	0.00316926	1623.05	0.000495775	1623.05	0.000495811		
1669.92	0.00232397	1669.92	0.000464314	1669.92	0.000464346		
1719.73	0.00125948	1719.73	0.000433912	1719.73	0.00043394		
1769.53	0.00323097	1769.53	0.00040626	1769.53	0.000406286		
1822.27	0.000885522	1822.27	0.000379627	1822.27	0.00037965		
1875	0.000784206	1875	0.000355396	1875	0.000355417		
1930.66	0.00228821	1930.66	0.00033212	1930.66	0.000332138		
1986.33	0.00207287	1986.33	0.000310931	1986.33	0.000310947		
2044.92	0.00181472	2044.92	0.00029062	2044.92	0.000290634		
