"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
				134.766	5.06158e-005
				136.23	0.000117838
				136.23	0.000117838
				136.23	0.000117838
				137.695	5.42519e-005
				137.695	5.42519e-005
				137.695	5.42519e-005
139.16	0.00110265			139.16	3.36924e-005
139.16	3.36924e-005			139.16	3.36924e-005
				139.16	3.36924e-005
				140.625	0.000102058
				140.625	0.000102058
				140.625	0.000102058
		142.09	7.79707e-005	142.09	3.57485e-005
		142.09	3.57485e-005	142.09	3.57485e-005
				142.09	3.57485e-005
143.555	0.00119075			143.555	9.49188e-005
143.555	9.49188e-005			143.555	9.49188e-005
				143.555	9.49188e-005
		145.02	6.07781e-005	145.02	5.03866e-005
		145.02	5.03866e-005	145.02	5.03866e-005
				145.02	5.03866e-005
		146.484	9.15073e-005	146.484	8.50743e-005
		146.484	8.50743e-005	146.484	8.50743e-005
				146.484	8.50743e-005
147.949	0.000987438			147.949	7.70923e-005
147.949	7.70923e-005			147.949	7.70923e-005
				147.949	7.70923e-005
				149.414	0.00011474
				149.414	0.00011474
				149.414	0.00011474
		150.879	0.000134234	150.879	4.90156e-005
		150.879	4.90156e-005	150.879	4.90156e-005
				150.879	4.90156e-005
152.344	0.000921826			152.344	2.60625e-005
152.344	2.60625e-005			152.344	2.60625e-005
				152.344	2.60625e-005
				153.809	8.1789e-005
				153.809	8.1789e-005
				153.809	8.1789e-005
				155.273	9.27672e-005
				155.273	9.27672e-005
				155.273	9.27672e-005
156.738	0.000906542			156.738	1.72133e-005
156.738	1.72133e-005			156.738	1.72133e-005
				156.738	1.72133e-005
		158.203	0.000103651	158.203	2.11545e-005
		158.203	2.11545e-005	158.203	2.11545e-005
				158.203	2.11545e-005
				159.668	8.33355e-005
				159.668	8.33355e-005
				159.668	8.33355e-005
161.133	0.000776408			161.133	5.42937e-005
161.133	5.42937e-005			161.133	5.42937e-005
				161.133	5.42937e-005
				162.598	6.29809e-005
				162.598	6.29809e-005
				162.598	6.29809e-005
		164.063	0.000113485	164.063	4.05771e-005
		164.063	4.05771e-005	164.063	4.05771e-005
				164.063	4.05771e-005
165.527	0.000865559			165.527	8.89752e-005
165.527	8.89752e-005			165.527	8.89752e-005
				165.527	8.89752e-005
				166.992	9.81016e-005
				166.992	9.81016e-005
				166.992	9.81016e-005
		168.457	0.000162196	168.457	3.89988e-005
		168.457	3.89988e-005	168.457	3.89988e-005
				168.457	3.89988e-005
169.922	0.000833449			169.922	5.49278e-005
169.922	5.49278e-005			169.922	5.49278e-005
				169.922	5.49278e-005
				171.387	9.38765e-005
				171.387	9.38765e-005
				171.387	9.38765e-005
				172.852	8.2615e-005
				172.852	8.2615e-005
				172.852	8.2615e-005
				174.316	6.17176e-005
				174.316	6.17176e-005
				174.316	6.17176e-005
175.781	0.000788583			175.781	4.26217e-005
175.781	4.26217e-005			175.781	4.26217e-005
				175.781	4.26217e-005
		177.246	8.48276e-005	177.246	4.48365e-005
		177.246	4.48365e-005	177.246	4.48365e-005
				177.246	4.48365e-005
				178.711	0.000115063
				178.711	0.000115063
				178.711	0.000115063
180.176	0.000714325			180.176	8.31161e-005
180.176	8.31161e-005			180.176	8.31161e-005
				180.176	8.31161e-005
		181.641	0.000113473	181.641	4.6281e-005
		181.641	4.6281e-005	181.641	4.6281e-005
				181.641	4.6281e-005
		183.105	4.36151e-005	183.105	2.99696e-005
		183.105	2.99696e-005	183.105	2.99696e-005
				183.105	2.99696e-005
				184.57	6.72493e-005
				184.57	6.72493e-005
				184.57	6.72493e-005
186.035	0.00063619			186.035	3.19837e-005
186.035	3.19837e-005			186.035	3.19837e-005
				186.035	3.19837e-005
		187.5	3.64916e-005	187.5	2.00662e-005
		187.5	2.00662e-005	187.5	2.00662e-005
				187.5	2.00662e-005
		188.965	7.96732e-005	188.965	7.35417e-005
		188.965	7.35417e-005	188.965	7.35417e-005
				188.965	7.35417e-005
		190.43	6.71793e-005	190.43	5.12696e-005
		190.43	5.12696e-005	190.43	5.12696e-005
				190.43	5.12696e-005
191.895	0.000592199			191.895	0.00014987
191.895	0.00014987			191.895	0.00014987
				191.895	0.00014987
				193.359	5.24803e-005
				193.359	5.24803e-005
				193.359	5.24803e-005
		194.824	4.45456e-005	194.824	2.19496e-005
		194.824	2.19496e-005	194.824	2.19496e-005
				194.824	2.19496e-005
		196.289	6.30822e-005	196.289	2.73214e-005
		196.289	2.73214e-005	196.289	2.73214e-005
				196.289	2.73214e-005
197.754	0.000539607			197.754	0.000112272
197.754	0.000112272			197.754	0.000112272
				197.754	0.000112272
				199.219	4.97235e-005
				199.219	4.97235e-005
				199.219	4.97235e-005
		200.684	9.95543e-005	200.684	3.89484e-005
		200.684	3.89484e-005	200.684	3.89484e-005
				200.684	3.89484e-005
202.148	0.000500651			202.148	4.24343e-005
202.148	4.24343e-005			202.148	4.24343e-005
				202.148	4.24343e-005
		203.613	7.79706e-005	203.613	3.0672e-005
		203.613	3.0672e-005	203.613	3.0672e-005
				203.613	3.0672e-005
				205.078	4.87158e-005
				205.078	4.87158e-005
				205.078	4.87158e-005
		206.543	9.95953e-005	206.543	5.76492e-005
		206.543	5.76492e-005	206.543	5.76492e-005
				206.543	5.76492e-005
		208.008	8.16248e-005	208.008	3.35577e-005
		208.008	3.35577e-005	208.008	3.35577e-005
				208.008	3.35577e-005
209.473	0.000455948			209.473	8.91389e-005
209.473	8.91389e-005			209.473	8.91389e-005
				209.473	8.91389e-005
				210.938	6.19611e-005
				210.938	6.19611e-005
				210.938	6.19611e-005
				212.402	0.000100109
				212.402	0.000100109
				212.402	0.000100109
		213.867	0.000109211	213.867	6.44049e-005
		213.867	6.44049e-005	213.867	6.44049e-005
				213.867	6.44049e-005
215.332	0.000457682			215.332	5.89199e-005
215.332	5.89199e-005			215.332	5.89199e-005
				215.332	5.89199e-005
				216.797	1.43203e-005
				216.797	1.43203e-005
				216.797	1.43203e-005
				218.262	6.44796e-005
				218.262	6.44796e-005
				218.262	6.44796e-005
		219.727	5.78097e-005	219.727	2.45344e-005
		219.727	2.45344e-005	219.727	2.45344e-005
				219.727	2.45344e-005
221.191	0.000426305			221.191	8.4177e-005
221.191	8.4177e-005			221.191	8.4177e-005
				221.191	8.4177e-005
				222.656	2.33263e-005
				222.656	2.33263e-005
				222.656	2.33263e-005
				224.121	5.70581e-005
				224.121	5.70581e-005
				224.121	5.70581e-005
		225.586	1.4765e-005	225.586	8.51908e-006
		225.586	8.51908e-006	225.586	8.51908e-006
				225.586	8.51908e-006
227.051	0.000389054			227.051	7.1991e-005
227.051	7.1991e-005			227.051	7.1991e-005
				227.051	7.1991e-005
		228.516	0.000101564	228.516	1.81385e-005
		228.516	1.81385e-005	228.516	1.81385e-005
				228.516	1.81385e-005
		229.98	8.27658e-005	229.98	2.14438e-005
		229.98	2.14438e-005	229.98	2.14438e-005
				229.98	2.14438e-005
				231.445	7.64809e-005
				231.445	7.64809e-005
				231.445	7.64809e-005
				232.91	4.84294e-005
				232.91	4.84294e-005
				232.91	4.84294e-005
234.375	0.000386211			234.375	5.23486e-005
234.375	5.23486e-005			234.375	5.23486e-005
				234.375	5.23486e-005
		235.84	6.26029e-005	235.84	5.02212e-005
		235.84	5.02212e-005	235.84	5.02212e-005
				235.84	5.02212e-005
		237.305	5.79475e-005	237.305	2.46635e-005
		237.305	2.46635e-005	237.305	2.46635e-005
				237.305	2.46635e-005
		238.77	6.16825e-005	238.77	3.98412e-005
		238.77	3.98412e-005	238.77	3.98412e-005
				238.77	3.98412e-005
				240.234	1.91352e-005
				240.234	1.91352e-005
				240.234	1.91352e-005
241.699	0.000352389			241.699	1.4443e-005
241.699	1.4443e-005			241.699	1.4443e-005
				241.699	1.4443e-005
				243.164	0.000113983
				243.164	0.000113983
				243.164	0.000113983
				244.629	7.79359e-005
				244.629	7.79359e-005
				244.629	7.79359e-005
				246.094	3.21595e-005
				246.094	3.21595e-005
				246.094	3.21595e-005
		247.559	4.23357e-005	247.559	3.80604e-005
		247.559	3.80604e-005	247.559	3.80604e-005
				247.559	3.80604e-005
249.023	0.00029564			249.023	4.75271e-005
249.023	4.75271e-005			249.023	4.75271e-005
				249.023	4.75271e-005
				250.488	9.64628e-005
				250.488	9.64628e-005
				250.488	9.64628e-005
				251.953	1.77379e-005
				251.953	1.77379e-005
				251.953	1.77379e-005
				253.418	3.56485e-005
				253.418	3.56485e-005
				253.418	3.56485e-005
254.883	0.000286874			254.883	1.24998e-005
254.883	1.24998e-005			254.883	1.24998e-005
				254.883	1.24998e-005
				256.348	8.80647e-005
				256.348	8.80647e-005
				256.348	8.80647e-005
		257.813	7.50778e-005	257.813	2.70196e-005
		257.813	2.70196e-005	257.813	2.70196e-005
				257.813	2.70196e-005
		259.277	3.67574e-005	259.277	2.2182e-005
		259.277	2.2182e-005	259.277	2.2182e-005
				259.277	2.2182e-005
				260.742	4.3635e-005
				260.742	4.3635e-005
				260.742	4.3635e-005
				262.207	8.59166e-005
				262.207	8.59166e-005
				262.207	8.59166e-005
263.672	0.000279682			263.672	1.63861e-005
263.672	1.63861e-005			263.672	1.63861e-005
				263.672	1.63861e-005
		265.137	5.92145e-005	265.137	4.17031e-005
		265.137	4.17031e-005	265.137	4.17031e-005
				265.137	4.17031e-005
				266.602	4.80252e-005
				266.602	4.80252e-005
				266.602	4.80252e-005
		268.066	9.02106e-005	268.066	1.06062e-005
		268.066	1.06062e-005	268.066	1.06062e-005
				268.066	1.06062e-005
				269.531	5.45436e-005
				269.531	5.45436e-005
				269.531	5.45436e-005
270.996	0.000377763			270.996	3.27979e-005
270.996	3.27979e-005			270.996	3.27979e-005
				270.996	3.27979e-005
		272.461	4.05469e-005	272.461	3.76353e-005
		272.461	3.76353e-005	272.461	3.76353e-005
				272.461	3.76353e-005
		273.926	6.97064e-005	273.926	5.25156e-005
		273.926	5.25156e-005	273.926	5.25156e-005
				273.926	5.25156e-005
		275.391	7.13432e-005	275.391	3.32861e-006
		275.391	3.32861e-006	275.391	3.32861e-006
				275.391	3.32861e-006
		276.855	8.14708e-005	276.855	4.23743e-005
		276.855	4.23743e-005	276.855	4.23743e-005
				276.855	4.23743e-005
278.32	0.000369423			278.32	4.42106e-005
278.32	4.42106e-005			278.32	4.42106e-005
				278.32	4.42106e-005
		279.785	6.13172e-005	279.785	2.74031e-005
		279.785	2.74031e-005	279.785	2.74031e-005
				279.785	2.74031e-005
		281.25	7.17221e-005	281.25	6.81018e-005
		281.25	6.81018e-005	281.25	6.81018e-005
				281.25	6.81018e-005
		282.715	8.11688e-005	282.715	7.52697e-005
		282.715	7.52697e-005	282.715	7.52697e-005
				282.715	7.52697e-005
		284.18	4.70833e-005	284.18	2.35202e-005
		284.18	2.35202e-005	284.18	2.35202e-005
				284.18	2.35202e-005
				285.645	6.54185e-005
				285.645	6.54185e-005
				285.645	6.54185e-005
287.109	0.000337389			287.109	3.15637e-005
287.109	3.15637e-005			287.109	3.15637e-005
				287.109	3.15637e-005
		288.574	6.10809e-005	288.574	1.79969e-005
		288.574	1.79969e-005	288.574	1.79969e-005
				288.574	1.79969e-005
		290.039	4.48883e-005	290.039	2.70162e-005
		290.039	2.70162e-005	290.039	2.70162e-005
				290.039	2.70162e-005
		291.504	5.56353e-005	291.504	2.49148e-005
		291.504	2.49148e-005	291.504	2.49148e-005
				291.504	2.49148e-005
		292.969	7.57883e-005	292.969	2.88307e-005
		292.969	2.88307e-005	292.969	2.88307e-005
				292.969	2.88307e-005
				294.434	0.000106821
				294.434	0.000106821
				294.434	0.000106821
295.898	0.000275844			295.898	0.00010029
295.898	0.00010029			295.898	0.00010029
				295.898	0.00010029
		297.363	3.11607e-005	297.363	3.0542e-005
		297.363	3.0542e-005	297.363	3.0542e-005
				297.363	3.0542e-005
		298.828	3.7235e-005	298.828	3.24904e-005
		298.828	3.24904e-005	298.828	3.24904e-005
				298.828	3.24904e-005
				300.293	7.2876e-005
				300.293	7.2876e-005
				300.293	7.2876e-005
				301.758	4.50023e-005
				301.758	4.50023e-005
				301.758	4.50023e-005
303.223	0.000241278			303.223	3.58345e-005
303.223	3.58345e-005			303.223	3.58345e-005
				303.223	3.58345e-005
				304.688	3.19834e-005
				304.688	3.19834e-005
				304.688	3.19834e-005
		306.152	4.93978e-005	306.152	3.87151e-005
		306.152	3.87151e-005	306.152	3.87151e-005
				306.152	3.87151e-005
				307.617	5.48181e-005
				307.617	5.48181e-005
				307.617	5.48181e-005
		309.082	7.67216e-005	309.082	2.2301e-005
		309.082	2.2301e-005	309.082	2.2301e-005
				309.082	2.2301e-005
				310.547	5.40107e-005
				310.547	5.40107e-005
				310.547	5.40107e-005
		312.012	8.23403e-005	312.012	7.48573e-005
		312.012	7.48573e-005	312.012	7.48573e-005
				312.012	7.48573e-005
313.477	0.000172252			313.477	8.62789e-005
313.477	8.62789e-005			313.477	8.62789e-005
				313.477	8.62789e-005
		314.941	4.00923e-005	314.941	1.84138e-005
		314.941	1.84138e-005	314.941	1.84138e-005
				314.941	1.84138e-005
				316.406	6.88799e-005
				316.406	6.88799e-005
				316.406	6.88799e-005
				317.871	2.27593e-005
				317.871	2.27593e-005
				317.871	2.27593e-005
				319.336	6.39522e-005
				319.336	6.39522e-005
				319.336	6.39522e-005
		320.801	7.96517e-005	320.801	1.31965e-005
		320.801	1.31965e-005	320.801	1.31965e-005
				320.801	1.31965e-005
322.266	0.000257211			322.266	2.44374e-005
322.266	2.44374e-005			322.266	2.44374e-005
				322.266	2.44374e-005
		323.73	3.29654e-005	323.73	3.21581e-005
		323.73	3.21581e-005	323.73	3.21581e-005
				323.73	3.21581e-005
		325.195	1.68115e-005	325.195	1.24825e-005
		325.195	1.24825e-005	325.195	1.24825e-005
				325.195	1.24825e-005
				326.66	2.52223e-005
				326.66	2.52223e-005
				326.66	2.52223e-005
				328.125	0.000102828
				328.125	0.000102828
				328.125	0.000102828
				329.59	5.21294e-005
				329.59	5.21294e-005
				329.59	5.21294e-005
331.055	0.000157018			331.055	8.87213e-005
331.055	8.87213e-005			331.055	8.87213e-005
				331.055	8.87213e-005
				332.52	6.8852e-005
				332.52	6.8852e-005
				332.52	6.8852e-005
				333.984	8.44518e-005
				333.984	8.44518e-005
				333.984	8.44518e-005
		335.449	8.25541e-005	335.449	4.26306e-005
		335.449	4.26306e-005	335.449	4.26306e-005
				335.449	4.26306e-005
		336.914	2.29961e-005	336.914	2.08476e-005
		336.914	2.08476e-005	336.914	2.08476e-005
				336.914	2.08476e-005
		338.379	5.16588e-005	338.379	4.72769e-005
		338.379	4.72769e-005	338.379	4.72769e-005
				338.379	4.72769e-005
		339.844	0.000118781	339.844	5.75112e-005
		339.844	5.75112e-005	339.844	5.75112e-005
				339.844	5.75112e-005
341.309	0.000200101			341.309	3.64412e-005
341.309	3.64412e-005			341.309	3.64412e-005
				341.309	3.64412e-005
		342.773	5.01275e-005	342.773	3.91477e-005
		342.773	3.91477e-005	342.773	3.91477e-005
				342.773	3.91477e-005
				344.238	1.53244e-005
				344.238	1.53244e-005
				344.238	1.53244e-005
				345.703	6.26055e-005
				345.703	6.26055e-005
				345.703	6.26055e-005
		347.168	7.7227e-005	347.168	3.44338e-005
		347.168	3.44338e-005	347.168	3.44338e-005
				347.168	3.44338e-005
		348.633	3.40422e-005	348.633	3.14343e-005
		348.633	3.14343e-005	348.633	3.14343e-005
				348.633	3.14343e-005
		350.098	5.82251e-005	350.098	4.22914e-005
		350.098	4.22914e-005	350.098	4.22914e-005
				350.098	4.22914e-005
351.563	0.000196816			351.563	1.74902e-005
351.563	1.74902e-005			351.563	1.74902e-005
				351.563	1.74902e-005
				353.027	2.65968e-005
				353.027	2.65968e-005
				353.027	2.65968e-005
				354.492	5.04738e-005
				354.492	5.04738e-005
				354.492	5.04738e-005
				355.957	1.25048e-005
				355.957	1.25048e-005
				355.957	1.25048e-005
				357.422	5.59044e-005
				357.422	5.59044e-005
				357.422	5.59044e-005
				358.887	8.51739e-005
				358.887	8.51739e-005
				358.887	8.51739e-005
				360.352	8.26426e-005
				360.352	8.26426e-005
				360.352	8.26426e-005
361.816	0.000134213			361.816	4.22521e-005
361.816	4.22521e-005			361.816	4.22521e-005
				361.816	4.22521e-005
				363.281	8.14198e-005
				363.281	8.14198e-005
				363.281	8.14198e-005
		364.746	4.88612e-005	364.746	3.57946e-005
		364.746	3.57946e-005	364.746	3.57946e-005
				364.746	3.57946e-005
				366.211	7.54627e-005
				366.211	7.54627e-005
				366.211	7.54627e-005
		367.676	8.82056e-005	367.676	1.5901e-005
		367.676	1.5901e-005	367.676	1.5901e-005
				367.676	1.5901e-005
		369.141	6.78935e-005	369.141	5.21942e-005
		369.141	5.21942e-005	369.141	5.21942e-005
				369.141	5.21942e-005
		370.605	8.36173e-005	370.605	4.96941e-005
