"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
		206.543	-120.718	206.543	-120.718
				206.543	-120.718
		208.008	-96.387	208.008	-122.727
		208.008	-122.727	208.008	-122.727
				208.008	-122.727
209.473	-55.1375			209.473	-110.23
209.473	-110.23			209.473	-110.23
				209.473	-110.23
		210.938	-106.367	210.938	-118.866
		210.938	-118.866	210.938	-118.866
				210.938	-118.866
		212.402	-107.368	212.402	-130.761
		212.402	-130.761	212.402	-130.761
				212.402	-130.761
		213.867	-96.0687	213.867	-113.191
		213.867	-113.191	213.867	-113.191
				213.867	-113.191
215.332	-55.0924			215.332	-118.104
215.332	-118.104			215.332	-118.104
				215.332	-118.104
		216.797	-98.8298	216.797	-104.936
		216.797	-104.936	216.797	-104.936
				216.797	-104.936
		218.262	-98.7418	218.262	-111.326
		218.262	-111.326	218.262	-111.326
				218.262	-111.326
		219.727	-101.061	219.727	-111.094
		219.727	-111.094	219.727	-111.094
				219.727	-111.094
221.191	-55.1155			221.191	-108.762
221.191	-108.762			221.191	-108.762
				221.191	-108.762
		222.656	-103.683	222.656	-109.315
		222.656	-109.315	222.656	-109.315
				222.656	-109.315
		224.121	-98.3508	224.121	-112.281
		224.121	-112.281	224.121	-112.281
				224.121	-112.281
				225.586	-107.032
				225.586	-107.032
				225.586	-107.032
227.051	-55.1195			227.051	-111.73
227.051	-111.73			227.051	-111.73
				227.051	-111.73
		228.516	-96.5009	228.516	-113.544
		228.516	-113.544	228.516	-113.544
				228.516	-113.544
		229.98	-103.962	229.98	-112.722
		229.98	-112.722	229.98	-112.722
				229.98	-112.722
				231.445	-105.813
				231.445	-105.813
				231.445	-105.813
		232.91	-99.2792	232.91	-111.936
		232.91	-111.936	232.91	-111.936
				232.91	-111.936
234.375	-55.0867			234.375	-112.544
234.375	-112.544			234.375	-112.544
				234.375	-112.544
		235.84	-98.1251	235.84	-115.876
		235.84	-115.876	235.84	-115.876
				235.84	-115.876
		237.305	-104.856	237.305	-113.372
		237.305	-113.372	237.305	-113.372
				237.305	-113.372
				238.77	-106.154
				238.77	-106.154
				238.77	-106.154
				240.234	-114.34
				240.234	-114.34
				240.234	-114.34
241.699	-55.0797			241.699	-120.632
241.699	-120.632			241.699	-120.632
				241.699	-120.632
		243.164	-98.6107	243.164	-119.504
		243.164	-119.504	243.164	-119.504
				243.164	-119.504
		244.629	-102.462	244.629	-118.864
		244.629	-118.864	244.629	-118.864
				244.629	-118.864
		246.094	-95.2946	246.094	-107.664
		246.094	-107.664	246.094	-107.664
				246.094	-107.664
				247.559	-115.972
				247.559	-115.972
				247.559	-115.972
249.023	-55.0717			249.023	-108.537
249.023	-108.537			249.023	-108.537
				249.023	-108.537
		250.488	-108.264	250.488	-110.554
		250.488	-110.554	250.488	-110.554
				250.488	-110.554
		251.953	-104.325	251.953	-114.372
		251.953	-114.372	251.953	-114.372
				251.953	-114.372
		253.418	-102.145	253.418	-116.709
		253.418	-116.709	253.418	-116.709
				253.418	-116.709
254.883	-55.1295			254.883	-119.522
254.883	-119.522			254.883	-119.522
				254.883	-119.522
		256.348	-103.39	256.348	-114.011
		256.348	-114.011	256.348	-114.011
				256.348	-114.011
		257.813	-107.3	257.813	-114.251
		257.813	-114.251	257.813	-114.251
				257.813	-114.251
		259.277	-100.363	259.277	-106.777
		259.277	-106.777	259.277	-106.777
				259.277	-106.777
		260.742	-107.824	260.742	-120.432
		260.742	-120.432	260.742	-120.432
				260.742	-120.432
				262.207	-107.599
				262.207	-107.599
				262.207	-107.599
263.672	-55.0796			263.672	-118.921
263.672	-118.921			263.672	-118.921
				263.672	-118.921
		265.137	-101.988	265.137	-108.55
		265.137	-108.55	265.137	-108.55
				265.137	-108.55
				266.602	-115.839
				266.602	-115.839
				266.602	-115.839
		268.066	-106.223	268.066	-112.47
		268.066	-112.47	268.066	-112.47
				268.066	-112.47
		269.531	-97.9402	269.531	-129.394
		269.531	-129.394	269.531	-129.394
				269.531	-129.394
270.996	-55.1956			270.996	-125.662
270.996	-125.662			270.996	-125.662
				270.996	-125.662
				272.461	-116.035
				272.461	-116.035
				272.461	-116.035
		273.926	-98.8927	273.926	-109.695
		273.926	-109.695	273.926	-109.695
				273.926	-109.695
		275.391	-109.826	275.391	-111.005
		275.391	-111.005	275.391	-111.005
				275.391	-111.005
		276.855	-114.604	276.855	-116.907
		276.855	-116.907	276.855	-116.907
				276.855	-116.907
278.32	-55.1684			278.32	-110.267
278.32	-110.267			278.32	-110.267
				278.32	-110.267
				279.785	-113.831
				279.785	-113.831
				279.785	-113.831
		281.25	-103.079	281.25	-114.426
		281.25	-114.426	281.25	-114.426
				281.25	-114.426
		282.715	-98.6936	282.715	-118.178
		282.715	-118.178	282.715	-118.178
				282.715	-118.178
		284.18	-107.937	284.18	-109.899
		284.18	-109.899	284.18	-109.899
				284.18	-109.899
		285.645	-107.574	285.645	-114.072
		285.645	-114.072	285.645	-114.072
				285.645	-114.072
287.109	-55.1526			287.109	-116.692
287.109	-116.692			287.109	-116.692
				287.109	-116.692
		288.574	-100.427	288.574	-131.451
		288.574	-131.451	288.574	-131.451
				288.574	-131.451
		290.039	-105.045	290.039	-115.229
		290.039	-115.229	290.039	-115.229
				290.039	-115.229
				291.504	-110.543
				291.504	-110.543
				291.504	-110.543
		292.969	-105.347	292.969	-115.716
		292.969	-115.716	292.969	-115.716
				292.969	-115.716
		294.434	-102.228	294.434	-112.803
		294.434	-112.803	294.434	-112.803
				294.434	-112.803
295.898	-55.1066			295.898	-116.23
295.898	-116.23			295.898	-116.23
				295.898	-116.23
		297.363	-120.825	297.363	-126.883
		297.363	-126.883	297.363	-126.883
				297.363	-126.883
		298.828	-98.013	298.828	-117.387
		298.828	-117.387	298.828	-117.387
				298.828	-117.387
		300.293	-102.75	300.293	-108.148
		300.293	-108.148	300.293	-108.148
				300.293	-108.148
		301.758	-102.546	301.758	-106.828
		301.758	-106.828	301.758	-106.828
				301.758	-106.828
303.223	-55.0872			303.223	-113.657
