"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
1325.68	0.000572403	1325.68	0.000666455	1325.68	0.00066666		
1365.23	0.000392242	1365.23	0.000622681	1365.23	0.000622863		
1404.79	0.00118982	1404.79	0.000582926	1404.79	0.000583089		
1445.8	0.000576154	1445.8	0.000545441	1445.8	0.000545587		
1488.28	0.000731313	1488.28	0.00051016	1488.28	0.00051029		
1532.23	0.000513791	1532.23	0.000477005	1532.23	0.000477121		
1576.17	0.000129975	1576.17	0.000446849	1576.17	0.000446953		
1623.05	0.000403077	1623.05	0.000417598	1623.05	0.00041769		
1669.92	9.41223e-005	1669.92	0.000391002	1669.92	0.000391084		
1719.73	0.000491571	1719.73	0.000365308	1719.73	0.000365382		
1769.53	0.000119799	1769.53	0.000341948	1769.53	0.000342013		
1822.27	9.91337e-005	1822.27	0.000319454	1822.27	0.000319512		
1875	0.000563765	1875	0.000298996	1875	0.000299048		
1930.66	4.60991e-005	1930.66	0.00027935	1930.66	0.000279396		
1986.33	0.000103329	1986.33	0.000261472	1986.33	0.000261513		
2044.92	0.000475777	2044.92	0.000244339	2044.92	0.000244376		
